mes,ejemplos,f1
2,6276854,0.7347385027495112
4,236611,0.6109528606035662
6,546843,0.6472865774048029
8,1001832,0.6806874630362105
10,1673052,0.7211505661780736
12,1453523,0.7166836829150744
